fold,split,dilation,sample_count,effective_receptive_field_samples,mean_padding_fraction,mean_absolute_feature_delta,median_absolute_feature_delta,max_absolute_feature_delta,padding_delta_correlation,threshold_count,zero_threshold_fraction,near_zero_threshold_fraction,threshold_min,threshold_median,threshold_max
0,train,1,192,9,0.4001116071428572,0.1664066878778006,0.1708174496889114,0.3057104051113128,0.9974440060680088,1512,1.0,1.0,0.0,0.0,0.0
0,test,1,48,9,0.3928571428571428,0.161153654102236,0.1523786038160324,0.2622662484645843,0.9995585603087936,1512,1.0,1.0,0.0,0.0,0.0
0,train,2,192,17,0.4001116071428572,0.1379374584066681,0.1351727768778801,0.2750278413295746,0.9860270227257916,1512,0.925925925925926,0.9272486772486772,0.0,0.0,0.6583853960037231
0,test,2,48,17,0.3928571428571428,0.130707371669511,0.1215088963508606,0.231407031416893,0.9932341344208128,1512,0.925925925925926,0.9272486772486772,0.0,0.0,0.6583853960037231
0,train,3,192,25,0.4001116071428572,0.1207981431992569,0.1145121194422245,0.2414847910404205,0.9751358531026548,1512,0.0165343915343915,0.0171957671957671,0.0,0.1397416964173317,8.57075309753418
0,test,3,48,25,0.3928571428571428,0.1143856345831106,0.1052259653806686,0.2017395943403244,0.972740562440998,1512,0.0165343915343915,0.0171957671957671,0.0,0.1397416964173317,8.57075309753418
0,train,4,192,33,0.4001116071428572,0.1156674965071336,0.1118825376033783,0.2277756929397583,0.9652451597360532,1512,0.0,0.0,0.0059999893419444,0.556208610534668,19.650501251220703
0,test,4,48,33,0.3928571428571428,0.1116660269908607,0.1052418649196624,0.1828852593898773,0.9350110621185876,1512,0.0,0.0,0.0059999893419444,0.556208610534668,19.650501251220703
0,train,5,192,41,0.4001116071428572,0.1145729196432512,0.1164289899170398,0.2089182585477829,0.9366082930416904,1512,0.0,0.0,0.0110000213608145,1.1597250699996948,28.09038543701172
0,test,5,48,41,0.3928571428571428,0.1141021236156423,0.1130814552307128,0.175558790564537,0.8794376014741678,1512,0.0,0.0,0.0110000213608145,1.1597250699996948,28.09038543701172
0,train,6,192,49,0.4001116071428572,0.1147376555988254,0.1183622665703296,0.1912562847137451,0.906662474945814,1512,0.0,0.0,0.016999976709485,1.6917418241500854,33.30825424194336
0,test,6,48,49,0.3928571428571428,0.1184187101510663,0.1157617382705211,0.1781472861766815,0.8777994973822739,1512,0.0,0.0,0.016999976709485,1.6917418241500854,33.30825424194336
1,train,1,192,9,0.3856026785714285,0.1591921213403111,0.1545533612370491,0.3011142909526825,0.997260899615522,1512,1.0,1.0,0.0,0.0,0.0
1,test,1,48,9,0.450892857142857,0.190011920252194,0.1838705763220787,0.3057104051113128,0.9991844326953468,1512,1.0,1.0,0.0,0.0,0.0
1,train,2,192,17,0.3856026785714285,0.1308926407849261,0.1234908662736415,0.2725103795528412,0.9848874148472128,1512,0.7691798941798942,0.7718253968253969,0.0,0.0,1.52793550491333
1,test,2,48,17,0.450892857142857,0.1572971850012739,0.1515869870781898,0.2719080746173858,0.9967263402858916,1512,0.7691798941798942,0.7718253968253969,0.0,0.0,1.52793550491333
1,train,3,192,25,0.3856026785714285,0.1148525400106639,0.105971410870552,0.2138062119483947,0.972791668349328,1512,0.0006613756613756,0.0006613756613756,0.0,0.1822250857949257,10.840069770812988
1,test,3,48,25,0.450892857142857,0.1355430536593,0.130741573870182,0.2392802089452743,0.9685392935224147,1512,0.0006613756613756,0.0006613756613756,0.0,0.1822250857949257,10.840069770812988
1,train,4,192,33,0.3856026785714285,0.1105477435048669,0.1066081188619136,0.199274867773056,0.9593487388035448,1512,0.0,0.0,0.0110000073909759,0.5839833915233612,26.26548194885254
1,test,4,48,33,0.450892857142857,0.1296350546181202,0.1272805705666542,0.2261550575494766,0.9578803493358358,1512,0.0,0.0,0.0110000073909759,0.5839833915233612,26.26548194885254
1,train,5,192,41,0.3856026785714285,0.1107074010069482,0.1137374676764011,0.1920501887798309,0.928053398179812,1512,0.0,0.0,0.0170000009238719,1.2329999804496763,35.482669830322266
1,test,5,48,41,0.450892857142857,0.1261249935875336,0.1217131353914737,0.2069552838802337,0.8992305868284983,1512,0.0,0.0,0.0170000009238719,1.2329999804496763,35.482669830322266
1,train,6,192,49,0.3856026785714285,0.11214087549403,0.1148740500211715,0.1847267299890518,0.9016254150059356,1512,0.0,0.0,0.0159999951720237,1.7521257400512695,38.67644882202149
1,test,6,48,49,0.450892857142857,0.1255855734925717,0.1217628233134746,0.1883341819047927,0.865337112214819,1512,0.0,0.0,0.0159999951720237,1.7521257400512695,38.67644882202149
2,train,1,192,9,0.3890438988095239,0.1605133696721168,0.1542911753058433,0.3057104051113128,0.9975236915012956,1512,1.0,1.0,0.0,0.0,0.0
2,test,1,48,9,0.4371279761904762,0.1847269269249712,0.2069248482584953,0.287296861410141,0.997268266942932,1512,1.0,1.0,0.0,0.0,0.0
2,train,2,192,17,0.3890438988095239,0.131794792425353,0.1234464086592197,0.2725228071212768,0.9851386560444394,1512,0.8128306878306878,0.8148148148148148,0.0,0.0,1.3483624458312988
2,test,2,48,17,0.4371279761904762,0.154196821191969,0.1731983572244644,0.2536919116973877,0.987816908872646,1512,0.8128306878306878,0.8148148148148148,0.0,0.0,1.3483624458312988
2,train,3,192,25,0.3890438988095239,0.1153751833286757,0.1057027764618396,0.2390164583921432,0.971310023089888,1512,0.0013227513227513,0.0013227513227513,0.0,0.1792416796088218,10.790118217468262
2,test,3,48,25,0.4371279761904762,0.1337704641434053,0.1478777304291725,0.2138510942459106,0.9736776724020016,1512,0.0013227513227513,0.0013227513227513,0.0,0.1792416796088218,10.790118217468262
2,train,4,192,33,0.3890438988095239,0.111362297165518,0.1060952916741371,0.2264122515916824,0.955194053024556,1512,0.0,0.0,0.0129999732598662,0.6330000162124634,23.520597457885746
2,test,4,48,33,0.4371279761904762,0.12578671433342,0.1365911737084388,0.1997992247343063,0.9638770369683508,1512,0.0,0.0,0.0129999732598662,0.6330000162124634,23.520597457885746
2,train,5,192,41,0.3890438988095239,0.1111047302644389,0.1131825037300586,0.2072492688894271,0.918396907761095,1512,0.0,0.0,0.0209999904036521,1.2984172105789185,32.91573715209961
2,test,5,48,41,0.4371279761904762,0.1236394502921029,0.1295705810189247,0.1917516887187957,0.9303735343165346,1512,0.0,0.0,0.0209999904036521,1.2984172105789185,32.91573715209961
2,train,6,192,49,0.3890438988095239,0.1124965676863212,0.114643894135952,0.1885554790496826,0.887231792421646,1512,0.0,0.0,0.0189999993890523,1.8056087493896484,38.08696746826172
2,test,6,48,49,0.4371279761904762,0.123353064021406,0.1293554753065109,0.1844615191221237,0.9127160676527644,1512,0.0,0.0,0.0189999993890523,1.8056087493896484,38.08696746826172
3,train,1,192,9,0.4134114583333333,0.1727627815901845,0.1715074554085731,0.3057104051113128,0.9972147654005256,1512,1.0,1.0,0.0,0.0,0.0
3,test,1,48,9,0.3396577380952381,0.1357292792527005,0.1379407867789268,0.2520062029361725,0.9983233245502788,1512,1.0,1.0,0.0,0.0,0.0
3,train,2,192,17,0.4134114583333333,0.143045499183548,0.1404822915792465,0.2754175961017608,0.9861796493299464,1512,0.9695767195767196,0.9695767195767196,0.0,0.0,0.2834482789039612
3,test,2,48,17,0.3396577380952381,0.1104823837910468,0.1039287000894546,0.2200254946947097,0.9829231928942735,1512,0.9695767195767196,0.9695767195767196,0.0,0.0,0.2834482789039612
3,train,3,192,25,0.4134114583333333,0.1250314447873582,0.1199290491640567,0.2424991726875305,0.975520411882921,1512,0.0482804232804232,0.0489417989417989,0.0,0.0799999721348285,7.936568260192871
3,test,3,48,25,0.3396577380952381,0.0995725522128244,0.0917587876319885,0.1928813606500625,0.9720199218944052,1512,0.0482804232804232,0.0489417989417989,0.0,0.0799999721348285,7.936568260192871
3,train,4,192,33,0.4134114583333333,0.1196196673457355,0.1150642707943916,0.2285892963409423,0.9686284014028688,1512,0.0,0.0,0.0060000419616699,0.489725112915039,21.94244956970215
3,test,4,48,33,0.3396577380952381,0.0978132055994744,0.0954394713044166,0.1624985486268997,0.9469999777447488,1512,0.0,0.0,0.0060000419616699,0.489725112915039,21.94244956970215
3,train,5,192,41,0.4134114583333333,0.1184120512043591,0.117987647652626,0.2096529752016067,0.9279750009554912,1512,0.0,0.0,0.0159999653697013,1.1014835238456726,30.602479934692383
3,test,5,48,41,0.3396577380952381,0.0999622231659789,0.0994270369410514,0.1597531139850616,0.9436905559483976,1512,0.0,0.0,0.0159999653697013,1.1014835238456726,30.602479934692383
3,train,6,192,49,0.4134114583333333,0.1190136820368934,0.1215731836855411,0.1911736130714416,0.8953578886099934,1512,0.0,0.0,0.0209999978542327,1.6948341131210327,35.13840866088867
3,test,6,48,49,0.3396577380952381,0.101972587329025,0.1017937287688255,0.1640565991401672,0.9164990436866663,1512,0.0,0.0,0.0209999978542327,1.6948341131210327,35.13840866088867
4,train,1,192,9,0.4051339285714285,0.1679054451330254,0.1681910902261734,0.3057104051113128,0.9982178217204808,1512,1.0,1.0,0.0,0.0,0.0
4,test,1,48,9,0.3727678571428571,0.1551586250813367,0.1542191281914711,0.3011142909526825,0.9968611478862472,1512,1.0,1.0,0.0,0.0,0.0
4,train,2,192,17,0.4051339285714285,0.1382280301089243,0.1337045431137085,0.2720484733581543,0.9880595801573122,1512,0.9133597883597884,0.9146825396825397,0.0,0.0,1.0819330215454102
4,test,2,48,17,0.3727678571428571,0.1292750662347922,0.1211438737809658,0.2740737199783325,0.9848087148057996,1512,0.9133597883597884,0.9146825396825397,0.0,0.0,1.0819330215454102
4,train,3,192,25,0.4051339285714285,0.1209947531945848,0.1107023730874061,0.2408273667097091,0.973596249232558,1512,0.0224867724867724,0.0224867724867724,0.0,0.1262418776750564,9.98576831817627
4,test,3,48,25,0.3727678571428571,0.1136152512626722,0.1023727022111415,0.2146101891994476,0.9802484035391944,1512,0.0224867724867724,0.0224867724867724,0.0,0.1262418776750564,9.98576831817627
4,train,4,192,33,0.4051339285714285,0.116309597127838,0.1104899048805236,0.2275381684303283,0.9549938103310232,1512,0.0,0.0,0.0080000003799796,0.5544501543045044,20.670753479003903
4,test,4,48,33,0.3727678571428571,0.1080180059652775,0.1044755652546882,0.1758575439453125,0.977668286227181,1512,0.0,0.0,0.0080000003799796,0.5544501543045044,20.670753479003903
4,train,5,192,41,0.4051339285714285,0.1159487414212587,0.1159702688455581,0.2080169320106506,0.9215437580203896,1512,0.0,0.0,0.0139999948441982,1.225933313369751,29.769184112548828
4,test,5,48,41,0.3727678571428571,0.1059925137863804,0.1112029515206813,0.1763664931058883,0.9302884961120697,1512,0.0,0.0,0.0139999948441982,1.225933313369751,29.769184112548828
4,train,6,192,49,0.4051339285714285,0.1171965734974946,0.1190127097070217,0.1895040273666381,0.8987047306034893,1512,0.0,0.0,0.0190000534057617,1.8254761695861816,35.86457443237305
4,test,6,48,49,0.3727678571428571,0.1055400130183746,0.109529010951519,0.1642540693283081,0.8861055156343248,1512,0.0,0.0,0.0190000534057617,1.8254761695861816,35.86457443237305
